宮舞モカ,ルートの案内を開始します……っ！ 運転、十分気をつけてくださいね……。ワトソンくんも準備いい？
宮舞モカ,目的地に到着しました！ 案内を終了しますね。ふぅ……、本当にお疲れ様でした！ 紅茶でも淹れよっか？
宮舞モカ,あれ……？ ルート、外れちゃいました……？ えっと、ルートを再検索しています……っ！
宮舞モカ,うぅ……道、間違えちゃいましたかね……？ すぐにルートを再探索します……！
宮舞モカ,その先、……
宮舞モカ,あっ…今すぐ出てください……っ！ ここです！
宮舞モカ,左に出てください、左です……！
宮舞モカ,右に出てください、右ですよ……！
宮舞モカ,ここは……左を維持してくださいね、左です
宮舞モカ,ここは……右を維持してくださいね、右です
宮舞モカ,まもなく、左折です……。心の準備、大丈夫ですか……？
宮舞モカ,まもなく、右折です……. 心の準備、大丈夫ですか……？
宮舞モカ,ここ、左折です……っ！
宮舞モカ,ここ、右折です……っ！
宮舞モカ,あわわ……っ、どこかでUターンしてください……っ！
宮舞モカ,ラウンドアバウト、1番目の出口です……！ ワトソンくん、合ってるよね……？
宮舞モカ,ラウンドアバウト、2番目の出口ですよ……！
宮舞モカ,ラウンドアバウト、3番目の出口です、次、次です……！
宮舞モカ,ラウンドアバウト、4番目の出口です……っ！
宮舞モカ,ラウンドアバウト、5番目の出口……かな？ あ、合ってます！
宮舞モカ,ラウンドアバウト、6番目の出口……っ、うぅ、目が回りそう……っ
宮舞モカ,この先、速度制限に注意してくださいね……？ サイン見落とさないでくださいね
宮舞モカ,わわわっ！ 速度オーバーです……っ！ 危ないですからスピード落としてくださいーっ！！
